### Module positions - created on Monday, 20 June 2022 at 23:51:48 ###
### Printed by Pcbnew version (6.0.5-0)
## Unit = mm, Angle = deg.
## Side : top
# Designator     Val                                 Package                                                     Mid X       Mid Y       Rotation  Layer
U3        PCB-SPST_RGB-LED-Counter-Clockwise  Circular_3mm_10mm_Cree_PLLC6_CLY6D-FKC-CK1N1D1BB7D3D3   123.3424  -191.1604    0.0000  top
U4        PCB-SPST_RGB-LED-Counter-Clockwise  Circular_3mm_10mm_Cree_PLLC6_CLY6D-FKC-CK1N1D1BB7D3D3   138.3284  -191.1604    0.0000  top
U5        PCB-SPST_RGB-LED-Counter-Clockwise  Circular_3mm_10mm_Cree_PLLC6_CLY6D-FKC-CK1N1D1BB7D3D3   153.3144  -191.1604    0.0000  top
U6        PCB-SPST_RGB-LED-Counter-Clockwise  Circular_3mm_10mm_Cree_PLLC6_CLY6D-FKC-CK1N1D1BB7D3D3   168.3512  -191.1604    0.0000  top
U7        PCB-SPST_RGB-LED-Counter-Clockwise  Circular_3mm_10mm_Cree_PLLC6_CLY6D-FKC-CK1N1D1BB7D3D3   183.3372  -191.1604    0.0000  top
U8        PCB-SPST_RGB-LED-Counter-Clockwise  Circular_3mm_10mm_Cree_PLLC6_CLY6D-FKC-CK1N1D1BB7D3D3   198.3232  -191.1604    0.0000  top
U9        PCB-SPST_RGB-LED-Counter-Clockwise  Circular_3mm_10mm_Cree_PLLC6_CLY6D-FKC-CK1N1D1BB7D3D3   213.3092  -191.1350    0.0000  top
U10       PCB-SPST_RGB-LED-Counter-Clockwise  Circular_3mm_10mm_Cree_PLLC6_CLY6D-FKC-CK1N1D1BB7D3D3   228.3206  -191.1350    0.0000  top
U11       PCB-SPST_RGB-LED-Counter-Clockwise  Circular_3mm_10mm_Cree_PLLC6_CLY6D-FKC-CK1N1D1BB7D3D3   243.3066  -191.1350    0.0000  top
U12       PCB-SPST_RGB-LED-Counter-Clockwise  Circular_3mm_10mm_Cree_PLLC6_CLY6D-FKC-CK1N1D1BB7D3D3   258.3180  -191.1350    0.0000  top
U13       PCB-SPST_RGB-LED-Counter-Clockwise  Circular_3mm_10mm_Cree_PLLC6_CLY6D-FKC-CK1N1D1BB7D3D3   273.3040  -191.1350    0.0000  top
U14       PCB-SPST_RGB-LED-Counter-Clockwise  Circular_3mm_10mm_Cree_PLLC6_CLY6D-FKC-CK1N1D1BB7D3D3   288.3154  -191.1350    0.0000  top
U15       PCB-SPST_RGB-LED-Counter-Clockwise  Circular_3mm_10mm_Cree_PLLC6_CLY6D-FKC-CK1N1D1BB7D3D3   303.3014  -191.1350    0.0000  top
U16       PCB-SPST_RGB-LED-Counter-Clockwise  Circular_3mm_10mm_Cree_PLLC6_CLY6D-FKC-CK1N1D1BB7D3D3   318.3128  -191.1096    0.0000  top
U17       PCB-SPST_RGB-LED-Counter-Clockwise  Circular_3mm_10mm_Cree_PLLC6_CLY6D-FKC-CK1N1D1BB7D3D3    93.3704  -176.1236    0.0000  top
U18       PCB-SPST_RGB-LED-Counter-Clockwise  Circular_3mm_10mm_Cree_PLLC6_CLY6D-FKC-CK1N1D1BB7D3D3   108.3564  -176.1236    0.0000  top
U19       PCB-SPST_RGB-LED-Counter-Clockwise  Circular_3mm_10mm_Cree_PLLC6_CLY6D-FKC-CK1N1D1BB7D3D3   123.3424  -176.1236    0.0000  top
U20       PCB-SPST_RGB-LED-Counter-Clockwise  Circular_3mm_10mm_Cree_PLLC6_CLY6D-FKC-CK1N1D1BB7D3D3   138.3284  -176.1236    0.0000  top
U21       PCB-SPST_RGB-LED-Counter-Clockwise  Circular_3mm_10mm_Cree_PLLC6_CLY6D-FKC-CK1N1D1BB7D3D3   153.3144  -176.1236    0.0000  top
U22       PCB-SPST_RGB-LED-Counter-Clockwise  Circular_3mm_10mm_Cree_PLLC6_CLY6D-FKC-CK1N1D1BB7D3D3   168.3512  -176.1236    0.0000  top
U23       PCB-SPST_RGB-LED-Counter-Clockwise  Circular_3mm_10mm_Cree_PLLC6_CLY6D-FKC-CK1N1D1BB7D3D3   183.3372  -176.1236    0.0000  top
U24       PCB-SPST_RGB-LED-Counter-Clockwise  Circular_3mm_10mm_Cree_PLLC6_CLY6D-FKC-CK1N1D1BB7D3D3   198.3232  -176.1236    0.0000  top
U25       PCB-SPST_RGB-LED-Counter-Clockwise  Circular_3mm_10mm_Cree_PLLC6_CLY6D-FKC-CK1N1D1BB7D3D3   213.3092  -176.1236    0.0000  top
U26       PCB-SPST_RGB-LED-Counter-Clockwise  Circular_3mm_10mm_Cree_PLLC6_CLY6D-FKC-CK1N1D1BB7D3D3   228.3206  -176.1236    0.0000  top
U27       PCB-SPST_RGB-LED-Counter-Clockwise  Circular_3mm_10mm_Cree_PLLC6_CLY6D-FKC-CK1N1D1BB7D3D3   243.3066  -176.1236    0.0000  top
U28       PCB-SPST_RGB-LED-Counter-Clockwise  Circular_3mm_10mm_Cree_PLLC6_CLY6D-FKC-CK1N1D1BB7D3D3   258.3180  -176.1236    0.0000  top
U29       PCB-SPST_RGB-LED-Counter-Clockwise  Circular_3mm_10mm_Cree_PLLC6_CLY6D-FKC-CK1N1D1BB7D3D3   273.3040  -176.1236    0.0000  top
U30       PCB-SPST_RGB-LED-Counter-Clockwise  Circular_3mm_10mm_Cree_PLLC6_CLY6D-FKC-CK1N1D1BB7D3D3   288.3154  -176.1490    0.0000  top
U31       PCB-SPST_RGB-LED-Counter-Clockwise  Circular_3mm_10mm_Cree_PLLC6_CLY6D-FKC-CK1N1D1BB7D3D3   303.3014  -176.1236    0.0000  top
U32       PCB-SPST_RGB-LED-Counter-Clockwise  Circular_3mm_10mm_Cree_PLLC6_CLY6D-FKC-CK1N1D1BB7D3D3   318.3128  -176.1236    0.0000  top
U33       STM32G0B1_KxTxN_LQFP32              LQFP-32_7x7mm_P0.8mm                                    163.7826  -140.1202   90.0000  top
U38       TPS563200                           SOT-23-6                                                 91.6940  -156.8450  -90.0000  top
U39       TPS563200                           SOT-23-6                                                114.3000  -137.5410  180.0000  top
U40       SE8233X2                            SOT-23                                                  140.4620  -144.1450  180.0000  top
U41       MCP1703A-3302_SOT223                SOT-223-3_TabPin2                                       198.4008  -122.9546    0.0000  top
U42       74LVC1G34                           SOT-23-5_HandSoldering                                  180.8480  -118.9990    0.0000  top
U43       6N135S                              SMDIP-8_W9.53mm                                         156.2100  -120.6500  -90.0000  top
## End
